id	kakencode	mextcode	name	nameus	zip	address	tel	url	campus	note	lat	lon	source
1	10101	F101110100010	北海道大学	Hokkaido University	060-0808	北海道札幌市北区北8条西5丁目	011-716-2111	https://www.hokudai.ac.jp/	札幌キャンパス		43.077957	141.340013	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
2	10102	F101110100029	北海道教育大学	Hokkaido University of Education	002-8501	北海道札幌市北区あいの里5条3-1-3	011-778-0206	https://www.hokkyodai.ac.jp/	札幌校		43.168236	141.396082	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
3	10103	F101110100038	室蘭工業大学	Muroran Institute of Technology	050-8585	北海道室蘭市水元町27-1	0143-46-5000	https://muroran-it.ac.jp/			42.377848	141.033478	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
4	10104	F101110100047	小樽商科大学	Otaru University of Commerce	047-8501	北海道小樽市緑3丁目5番21号	0134-27-5206	https://www.otaru-uc.ac.jp/			43.190475	140.979663	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
5	10105	F101110100056	帯広畜産大学	Obihiro University of Agriculture and Veterinary Medicine	080-8555	北海道帯広市稲田町西2線11番地	0155-49-5216	https://www.obihiro.ac.jp/			42.875998	143.173171	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
6	10106	F101110100065	北見工業大学	Kitami Institute of Technology	090-8507	北海道北見市公園町165番地	0157-26-9113	https://www.kitami-it.ac.jp/			43.822847	143.905106	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
7	10107	F101110100074	旭川医科大学	Asahikawa Medical University	078-8510	北海道旭川市緑が丘東2条1-1-1	0166-65-2111	https://www.asahikawa-med.ac.jp/			43.729855	142.384141	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
8	20101	F101210100081	札幌医科大学	Sapporo Medical University	060-8556	北海道札幌市中央区南1条西17丁目	011-611-2111	https://web.sapmed.ac.jp/			43.055198	141.33214	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
9	20103	F101210100090	公立はこだて未来大学	Future University Hakodate	041-8655	北海道函館市亀田中野町116番地2	0138-34-6448	https://www.fun.ac.jp/			41.841817	140.766969	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
10	20102	F101210100107	釧路公立大学	Kushiro Public University of Economics	085-8585	北海道釧路市芦野4-1-1	0154-37-3211	https://www.kushiro-pu.ac.jp/			43.018379	144.39643	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
