type	name	lat	long
1	北海道大学（札幌キャンパス）	43.077957	141.340013
1	北海道教育大学（札幌校）	43.168236	141.396082
1	室蘭工業大学	42.377848	141.033478
1	小樽商科大学	43.190475	140.979663
1	帯広畜産大学	42.875998	143.173171
1	北見工業大学	43.822847	143.905106
1	旭川医科大学	43.729855	142.384141
2	札幌医科大学	43.055198	141.33214
2	公立はこだて未来大学	41.841817	140.766969
2	釧路公立大学	43.018379	144.39643
2	名寄市立大学	44.364698	142.458361
2	札幌市立大学（芸術の森キャンパス）	42.944639	141.340708
2	公立千歳科学技術大学	42.793532	141.695993
2	旭川市立大学	43.816109	142.445899
3	札幌大学	43.010744	141.383641
3	札幌学院大学（江別キャンパス）	43.066588	141.493973
3	函館大学	41.788824	140.806344
3	藤女子大学（北16条キャンパス）	43.080005	141.350898
3	北星学園大学	43.024768	141.448726
3	北海学園大学（豊平キャンパス）	43.045026	141.368787
3	北海道科学大学	43.135152	141.247203
3	酪農学園大学	43.07329	141.51096
3	北海道医療大学（当別キャンパス）	43.231413	141.548781
3	北海商科大学	43.048346	141.369854
3	星槎道都大学	42.979444	141.542496
3	北海道情報大学	43.077836	141.537176
3	札幌国際大学	43.000726	141.42616
3	北翔大学	43.0646224	141.4902794
3	北洋大学	42.600832	141.467555
3	日本赤十字北海道看護大学	43.82968	143.907557
3	北海道文教大学	42.890516	141.591604
3	天使大学	43.077508	141.357461
3	育英館大学（稚内本校）	45.382804	141.717922
3	札幌大谷大学	43.082249	141.366486
3	札幌保健医療大学	43.132242	141.412683
3	日本医療大学（月寒本キャンパス）	43.0291851	141.4137343
3	北海道千歳リハビリテーション大学	42.785487	141.598217
3	北海道武蔵女子大学	43.086771	141.329752
1	弘前大学（文京町地区）	40.589483	140.472484
2	青森公立大学	40.751921	140.77219
2	青森県立保健大学	40.813933	140.792219
3	青森大学	40.784068	140.781174
3	柴田学園大学	40.580441	140.485239
3	弘前学院大学	40.583788	140.468132
3	八戸工業大学	40.479642	141.562761
3	八戸学院大学（美保野キャンパス）	40.484417	141.590742
3	青森中央学院大学	40.784291	140.762172
3	弘前医療福祉大学	40.588627	140.500355
1	岩手大学（上田キャンパス）	39.715868	141.138455
